StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q37,Q67,Q73,Q68,Q38,Q33,Q34,Q21_1,Q21_2,Q21_3,Q21_4,Q57_1,Q57_2,Q57_3,Q57_4,Q57_5,Q57_6,Q30,Q32,Q34,Q36,Q36,workerId,condition,sales,salessubjpron,salesobjpron,salesposspron,salessubjproncapit
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Thank you for participating in this survey. In this study, you will read several scenarios and answer a number of questions afterwards.



We would greatly appreciate it if you read the scenarios carefully and are thoughtful in your responses. Once you have satisfactorily answered all questions, you will receive a passcode to input into Amazon MTurk to ensure payment.





Before starting the survey, please enter your Mechanical Turk Worker ID below.","Think of the most competitive situation you've been in during the past year or two (if you can't think of something in that timeframe, you can go further back). It could be a project, organization, job, or event that felt competitive — where people around you were doing whatever they could to get ahead and beat each other, rather than working together.
This situation may have brought out the worst in people, causing fairness and generosity to take a backseat to selfishness, ruthlessness, and even manipulation or sabotage. It may have felt like ""might is right"" and winning was everything — if you played nice, you'd end up on the bottom. This should be a situation where you were personally involved.
In the space below, please write a few sentences describing this situation.","Think of the most cooperative situation you've been in during the past year or two (if you can't think of something in that timeframe, you can go further back). It could be a project, organization, job, or event that felt cooperative — with people working together, trusting one another, and acting with generosity and honesty.
This situation may have brought out the best in people, with everyone working toward a common goal; instead of being selfish, people pulled together, helped each other, and trusted one another. In general, people showed compassion and acted in harmony. This should be a situation where you were personally involved.
In the space below, please write a few sentences describing this situation.","In the situation that you thought about above, what did people do that was [Field-condition]? Please write a sentence or two describing people's [Field-condition] behavior.",How recent was this situation?,How were people mostly acting in this situation?,What did you write about for the previous questions?,The statements below concern your general beliefs about the world. Please rate your agreement with each of these items. - It’s a dog-eat-dog world where you have to be ruthless at times,"The statements below concern your general beliefs about the world. Please rate your agreement with each of these items. - The world we live in is basically a competitive ""jungle"" where only the toughest survive and succeed",The statements below concern your general beliefs about the world. Please rate your agreement with each of these items. - Most people are trustworthy if you have faith in them,The statements below concern your general beliefs about the world. Please rate your agreement with each of these items. - It is better to be loved than feared,"Based on what you know, please rate your impression of [Field-sales] on the items below.

 

To what extent do you see [Field-sales] as ... - Competent, capable","Based on what you know, please rate your impression of [Field-sales] on the items below.

 

To what extent do you see [Field-sales] as ... - Intelligent, smart","Based on what you know, please rate your impression of [Field-sales] on the items below.

 

To what extent do you see [Field-sales] as ... - A good leader","Based on what you know, please rate your impression of [Field-sales] on the items below.

 

To what extent do you see [Field-sales] as ... - A good negotiator","Based on what you know, please rate your impression of [Field-sales] on the items below.

 

To what extent do you see [Field-sales] as ... - A good problem-solver","Based on what you know, please rate your impression of [Field-sales] on the items below.

 

To what extent do you see [Field-sales] as ... - Please choose somewhat disagree",What is your age?,What is your gender?,What best describes you?,What is your highest level of education?,Any comments about the survey? (optional),workerId,condition,sales,salessubjpron,salesobjpron,salesposspron,salessubjproncapit
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID33_TEXT""}","{""ImportId"":""QID77_TEXT""}","{""ImportId"":""QID78_TEXT""}","{""ImportId"":""QID81_TEXT""}","{""ImportId"":""QID84""}","{""ImportId"":""QID82""}","{""ImportId"":""QID83""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID16_44""}","{""ImportId"":""QID16_45""}","{""ImportId"":""QID16_46""}","{""ImportId"":""QID57_1""}","{""ImportId"":""QID57_6""}","{""ImportId"":""QID57_3""}","{""ImportId"":""QID57_7""}","{""ImportId"":""QID57_10""}","{""ImportId"":""QID57_21""}","{""ImportId"":""QID29_TEXT""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""workerId""}","{""ImportId"":""condition""}","{""ImportId"":""sales""}","{""ImportId"":""salessubjpron""}","{""ImportId"":""salesobjpron""}","{""ImportId"":""salesposspron""}","{""ImportId"":""salessubjproncapit""}"
2022-03-16 07:31:50,2022-03-16 07:34:25,0,206.212.5.3,100,155,1,2022-03-16 07:34:26,R_pz0jLTNoX9D9wSl,,,,,38.4076995849609375,-82.44049835205078125,anonymous,EN,A1M56SWPFNJHDK,,"I had a group project with 4 people I never met before. Each person was worried they would have to carry the entire weight of the project but thankfully, each one of us had equal influence in it. ","Each person agreed on what they had to do and practiced what they had to say. ",1,1,2,1,1,6,7,1,1,1,1,1,2,24,1,1,3,,A1M56SWPFNJHDK,cooperative,Jennifer,she,her,her,She
2022-03-16 07:30:41,2022-03-16 07:34:50,0,68.134.73.205,100,248,1,2022-03-16 07:34:50,R_3ENhj4A8NiHvuha,,,,,39.4799041748046875,-76.295501708984375,anonymous,EN,A2J1ANUL0BYKUK,,"I felt most cooperative in a work situation. We came under a high pressure deadline, and although most of us didn't get along on a daily basis, we found a way to put our differences aside to meet the deadline. People who once had only their own interests in mind put the group first for a change.","Instead of people coming to work and doing the bare minimum, employees were stepping up and helping out their fellow co-worker.",2,1,2,2,2,5,7,4,4,2,3,2,2,33,1,1,4,,A2J1ANUL0BYKUK,cooperative,Andrew,he,him,his,He
2022-03-16 07:32:54,2022-03-16 07:35:40,0,76.31.181.225,100,166,1,2022-03-16 07:35:40,R_2rNHXeONVEUZ8kN,,,,,29.7223052978515625,-95.62850189208984375,anonymous,EN,A3F34OE3VQ7W0V,during a basketball game in junior high it was very tough because i was little,,the players were much bigger than me.,5,5,1,6,6,5,4,5,5,5,5,5,2,40,1,2,3,,A3F34OE3VQ7W0V,competitive,Jennifer,she,her,her,She
2022-03-16 07:31:39,2022-03-16 07:35:44,0,47.176.133.53,100,244,1,2022-03-16 07:35:44,R_2CpreMNS9qdAHec,,,,,35.260894775390625,-116.696197509765625,anonymous,EN,A35X6ZCBSOCQMO,"Back a couple months ago, my team had to build a bridge over a river. Two other teams were competing for the contract. The contract was worth a lot of money.",,"In addition to making our own plans, someone on a opposing team shot my team leader to prevent our success.",1,5,1,6,7,3,5,2,1,1,1,2,2,19,1,1,2,,A35X6ZCBSOCQMO,competitive,Andrew,he,him,his,He
2022-03-16 07:30:36,2022-03-16 07:36:21,0,154.27.215.98,100,345,1,2022-03-16 07:36:22,R_306nMoK58BCtiuO,,,,,42.565399169921875,-74.3246002197265625,anonymous,EN,AZCGSVDT79E6X,"While working, there was an opportunity to get a raise, however the boss was only looking for 1-2 people and the team had 5 people. Many of us were working harder and trying to work as much as possible to get the raise. It would have increased our pay about 30 percent.",,"We would work overtime, some of us would work through lunches, and if possible do work at home. Other's would try to show the boss how understanding they were of the task they were assigned and wouldn't ask any questions when in meetings to make them seem better understanding.",3,5,1,4,4,5,6,1,1,1,1,1,2,28,1,1,1,,AZCGSVDT79E6X,competitive,Jennifer,she,her,her,She
2022-03-16 07:31:08,2022-03-16 07:37:05,0,108.52.35.190,100,356,1,2022-03-16 07:37:05,R_3gXA2b4BGnd95Zw,,,,,40.1136016845703125,-74.93959808349609375,anonymous,EN,A2CFI1X8OKYIL2,,"We had a major storm with tornadoes, flooding, and lightning over the summer. Our neighbors and us all worked together to help when the power went out. We also helped pick things up off the streets.",They let neighbors use their power to charge each other’s phones if they had a generator and grilled food if they had propane. They also helped clean up large objects in the streets.,2,1,2,5,5,5,4,4,4,4,2,4,2,40,2,3,3,,A2CFI1X8OKYIL2,cooperative,Andrew,he,him,his,He
2022-03-16 07:33:52,2022-03-16 07:38:01,0,202.182.64.229,100,249,1,2022-03-16 07:38:02,R_3EieUfi4UxmXjNW,,,,,40.7682952880859375,-73.98020172119140625,anonymous,EN,AZG9AKMKU06ZE,Notice in the outline below that the topic sentence is followed by details that help describe your good friend and explain why you like him or her.,,"Competitiveness is a measure of a person's desire to surpass others. A highly competitive person is more likely to see a situation as a competition, even when there is no explicit winner or loser",4,3,3,6,6,5,4,4,4,5,4,3,2,32,1,1,5,good,AZG9AKMKU06ZE,competitive,Andrew,he,him,his,He
2022-03-16 07:34:32,2022-03-16 07:38:10,0,73.209.254.227,100,217,1,2022-03-16 07:38:10,R_2e9iuLco8JKrX7w,,,,,41.768798828125,-88.1425018310546875,anonymous,EN,A3U0WIOM1CDKC2,,"A few months ago, we had a large capital project that involved several teams needing to work on different objectives to meet the same goal. It was a high visibility project with lots of leadership oversight on it and office politics involved.","I thought that people from all the different teams did a great job of communicating with one another, specifically when teams needed assistance from other teams, and also generally keeping each other in the loop of each person's respective progress. In addition, we all tried to offer assistance and pitch in when it was clear someone was struggling or falling behind on deadlines.",2,1,2,3,2,5,7,2,1,1,1,1,2,26,1,5,4,,A3U0WIOM1CDKC2,cooperative,Andrew,he,him,his,He
